vcf,sample,status,src
LP6005441-DNA_A01.annotated.nh.vcf.gz,LP6005441-DNA_A01, OK,LP6005441-DNA_A01.vfy
LP6005441-DNA_A03.annotated.nh.vcf.gz,LP6005441-DNA_A03, OK,LP6005441-DNA_A03.vfy
LP6005441-DNA_A04.annotated.nh.vcf.gz,LP6005441-DNA_A04, OK,LP6005441-DNA_A04.vfy
LP6005441-DNA_A05.annotated.nh.vcf.gz,LP6005441-DNA_A05, OK,LP6005441-DNA_A05.vfy
LP6005441-DNA_A06.annotated.nh.vcf.gz,LP6005441-DNA_A06, OK,LP6005441-DNA_A06.vfy
LP6005441-DNA_A08.annotated.nh.vcf.gz,LP6005441-DNA_A08, OK,LP6005441-DNA_A08.vfy
LP6005441-DNA_A09.annotated.nh.vcf.gz,LP6005441-DNA_A09, OK,LP6005441-DNA_A09.vfy
LP6005441-DNA_A10.annotated.nh.vcf.gz,LP6005441-DNA_A10, OK,LP6005441-DNA_A10.vfy
LP6005441-DNA_A11.annotated.nh.vcf.gz,LP6005441-DNA_A11, OK,LP6005441-DNA_A11.vfy
LP6005441-DNA_A12.annotated.nh.vcf.gz,LP6005441-DNA_A12, OK,LP6005441-DNA_A12.vfy
LP6005441-DNA_B01.annotated.nh.vcf.gz,LP6005441-DNA_B01, OK,LP6005441-DNA_B01.vfy
LP6005441-DNA_B02.annotated.nh.vcf.gz,LP6005441-DNA_B02, OK,LP6005441-DNA_B02.vfy
LP6005441-DNA_B03.annotated.nh.vcf.gz,LP6005441-DNA_B03, OK,LP6005441-DNA_B03.vfy
LP6005441-DNA_B04.annotated.nh.vcf.gz,LP6005441-DNA_B04, OK,LP6005441-DNA_B04.vfy
LP6005441-DNA_B05.annotated.nh.vcf.gz,LP6005441-DNA_B05, OK,LP6005441-DNA_B05.vfy
LP6005441-DNA_B06.annotated.nh.vcf.gz,LP6005441-DNA_B06, OK,LP6005441-DNA_B06.vfy
LP6005441-DNA_B07.annotated.nh.vcf.gz,LP6005441-DNA_B07, OK,LP6005441-DNA_B07.vfy
LP6005441-DNA_B08.annotated.nh.vcf.gz,LP6005441-DNA_B08, OK,LP6005441-DNA_B08.vfy
LP6005441-DNA_B09.annotated.nh.vcf.gz,LP6005441-DNA_B09, OK,LP6005441-DNA_B09.vfy
LP6005441-DNA_B10.annotated.nh.vcf.gz,LP6005441-DNA_B10, OK,LP6005441-DNA_B10.vfy
LP6005441-DNA_B11.annotated.nh.vcf.gz,LP6005441-DNA_B11, OK,LP6005441-DNA_B11.vfy
LP6005441-DNA_B12.annotated.nh.vcf.gz,LP6005441-DNA_B12, OK,LP6005441-DNA_B12.vfy
LP6005441-DNA_C01.annotated.nh.vcf.gz,LP6005441-DNA_C01, OK,LP6005441-DNA_C01.vfy
LP6005441-DNA_C02.annotated.nh.vcf.gz,LP6005441-DNA_C02, OK,LP6005441-DNA_C02.vfy
LP6005441-DNA_C03.annotated.nh.vcf.gz,LP6005441-DNA_C03, OK,LP6005441-DNA_C03.vfy
LP6005441-DNA_C05.annotated.nh.vcf.gz,LP6005441-DNA_C05, OK,LP6005441-DNA_C05.vfy
LP6005441-DNA_C06.annotated.nh.vcf.gz,LP6005441-DNA_C06, OK,LP6005441-DNA_C06.vfy
LP6005441-DNA_C07.annotated.nh.vcf.gz,LP6005441-DNA_C07, OK,LP6005441-DNA_C07.vfy
LP6005441-DNA_C08.annotated.nh.vcf.gz,LP6005441-DNA_C08, OK,LP6005441-DNA_C08.vfy
LP6005441-DNA_C09.annotated.nh.vcf.gz,LP6005441-DNA_C09, OK,LP6005441-DNA_C09.vfy
LP6005441-DNA_C10.annotated.nh.vcf.gz,LP6005441-DNA_C10, OK,LP6005441-DNA_C10.vfy
LP6005441-DNA_C11.annotated.nh.vcf.gz,LP6005441-DNA_C11, OK,LP6005441-DNA_C11.vfy
LP6005441-DNA_D01.annotated.nh.vcf.gz,LP6005441-DNA_D01, OK,LP6005441-DNA_D01.vfy
LP6005441-DNA_D02.annotated.nh.vcf.gz,LP6005441-DNA_D02, OK,LP6005441-DNA_D02.vfy
LP6005441-DNA_D03.annotated.nh.vcf.gz,LP6005441-DNA_D03, OK,LP6005441-DNA_D03.vfy
LP6005441-DNA_D04.annotated.nh.vcf.gz,LP6005441-DNA_D04, OK,LP6005441-DNA_D04.vfy
LP6005441-DNA_D05.annotated.nh.vcf.gz,LP6005441-DNA_D05, OK,LP6005441-DNA_D05.vfy
LP6005441-DNA_D06.annotated.nh.vcf.gz,LP6005441-DNA_D06, OK,LP6005441-DNA_D06.vfy
LP6005441-DNA_D07.annotated.nh.vcf.gz,LP6005441-DNA_D07, OK,LP6005441-DNA_D07.vfy
LP6005441-DNA_D08.annotated.nh.vcf.gz,LP6005441-DNA_D08, OK,LP6005441-DNA_D08.vfy
LP6005441-DNA_D09.annotated.nh.vcf.gz,LP6005441-DNA_D09, OK,LP6005441-DNA_D09.vfy
LP6005441-DNA_D10.annotated.nh.vcf.gz,LP6005441-DNA_D10, OK,LP6005441-DNA_D10.vfy
LP6005441-DNA_D11.annotated.nh.vcf.gz,LP6005441-DNA_D11, OK,LP6005441-DNA_D11.vfy
